200,0,0,1692848,689162,42094,332032,21038,342444,21672,23535
200,0,0,24988,8934,1247,32181,203,10980,6820,1062
200,0,0,55759,18350,5102,28071,2355,9826,12365,1745
200,0,0,138594,180215,14588,72224,6586,48856,1742,3184
200,0,0,354146,62686,25224,41386,9108,18973,9521,7891
200,0,0,292432,156757,7358,113987,9220,60534,1576,5946
200,0,0,159714,19269,7071,5673,3259,10672,6550,3772
200,0,0,11540,63009,6805,14923,286,10597,795,541
200,0,0,271500,216284,24245,47040,14521,37038,2043,3639
200,0,0,1010415,747833,316408,328992,81111,76610,48920,27790
200,0,0,35260,51139,2548,15218,1441,19478,1504,2488
200,0,0,11118,26648,1309,29010,1371,17491,724,835
200,0,0,1975560,678825,29889,284823,30201,214061,4452,20080
200,0,0,754031,16167,37589,44370,10401,24775,17956,9365
200,0,0,586183,84324,12964,66387,4560,47986,9039,2640
200,0,0,209847,9839,7155,13651,3975,9639,5298,2962
200,0,0,10746,22768,5565,8816,2015,6518,4286,1179
200,0,0,2416552,757009,70509,191984,7285,221225,14817,15476
200,0,0,927234,98130,10256,64533,10962,50310,8303,3160
200,0,0,30798,10747,3728,26381,221,8288,6176,1892
200,0,0,814213,63377,39857,83784,20057,28944,14999,11087
200,0,0,137211,187145,15109,69869,10307,60130,1649,3798
200,0,0,47861,11066,2797,15995,538,9559,446,1891
200,0,0,975380,1738929,289613,124578,87671,69230,134148,15126
200,0,0,59108,28029,3054,9491,3572,9775,3119,3324
200,0,0,33008,16659,5811,14575,3519,12150,1582,1217
200,0,0,872305,39097,9240,79251,9567,38314,52211,9089
200,0,0,401102,21737,10329,58608,8933,45362,2165,7188
200,0,0,298596,126722,13733,115279,10898,49394,2010,3441
200,0,0,137719,31427,3397,11662,8274,6955,3386,4090
200,0,0,17256,22440,3802,17804,2266,9652,2290,3568
200,0,0,460961,191440,19650,61913,5330,49630,2435,6461
200,0,0,338015,240674,3371,57224,5246,68513,3183,3763
200,0,0,53811,7170,1968,19006,3955,13122,3311,3061
200,0,0,13062,5802,2468,21495,1218,17353,444,680
200,0,0,389704,180767,11813,105634,9355,46888,3904,4964
200,0,0,102568,33510,2473,15064,3937,4055,4350,2242
200,0,0,384378,137153,6433,83352,11729,60904,2383,2364
